m,seed,task,dataset,method,mae
2,8,math:subject=algebra,math,pkps,0.21012342342083537
2,8,math:subject=algebra,math,ens,0.15067989379758936
2,8,math:subject=algebra,math,irt,0.2302089880036806
2,8,math:subject=counting_and_probability,math,sample,0.23614557485525225
2,8,math:subject=counting_and_probability,math,pkps,0.20738794622072648
2,8,math:subject=counting_and_probability,math,ens,0.16688706649640128
2,8,math:subject=counting_and_probability,math,irt,0.19023042187249445
2,8,math:subject=geometry,math,sample,0.2515563101301641
2,8,math:subject=geometry,math,pkps,0.18133320571017802
2,8,math:subject=geometry,math,ens,0.16024561534265483
2,8,math:subject=geometry,math,irt,0.34300870277577217
2,8,math:subject=intermediate_algebra,math,sample,0.21298593879239044
2,8,math:subject=intermediate_algebra,math,pkps,0.21308778288060912
2,8,math:subject=intermediate_algebra,math,ens,0.16792290799103035
2,8,math:subject=intermediate_algebra,math,irt,0.4080759443324793
2,8,math:subject=number_theory,math,sample,0.2232974910394265
2,8,math:subject=number_theory,math,pkps,0.2182826653457874
2,8,math:subject=number_theory,math,ens,0.16994902719209645
2,8,math:subject=number_theory,math,irt,0.24279995488530023
2,8,math:subject=prealgebra,math,sample,0.16829207301825455
2,8,math:subject=prealgebra,math,pkps,0.19790837139653275
2,8,math:subject=prealgebra,math,ens,0.14714028692266407
2,8,math:subject=prealgebra,math,irt,0.3254788963394633
2,8,math:subject=precalculus,math,sample,0.21788341822297683
2,8,math:subject=precalculus,math,pkps,0.1893295683422323
2,8,math:subject=precalculus,math,ens,0.14706590354186802
2,8,math:subject=precalculus,math,irt,0.3021892286343997
2,8,med_qa,med_qa,sample,0.2560035842293907
2,8,med_qa,med_qa,pkps,0.12810558163517358
2,8,med_qa,med_qa,ens,0.11200821561184188
2,8,med_qa,med_qa,irt,0.323628216811515
2,8,wmt_14:language_pair=cs-en,wmt_14,sample,0.08446094949616963
2,8,wmt_14:language_pair=cs-en,wmt_14,pkps,0.052108228578630976
2,8,wmt_14:language_pair=cs-en,wmt_14,ens,0.046039069897682076
2,8,wmt_14:language_pair=de-en,wmt_14,sample,0.09455166318043158
2,8,wmt_14:language_pair=de-en,wmt_14,pkps,0.033548199873453075
2,8,wmt_14:language_pair=de-en,wmt_14,ens,0.0361654743140592
2,8,wmt_14:language_pair=fr-en,wmt_14,sample,0.10726870692589532
2,8,wmt_14:language_pair=fr-en,wmt_14,pkps,0.02137903559119859
2,8,wmt_14:language_pair=fr-en,wmt_14,ens,0.03538769150450407
2,8,wmt_14:language_pair=hi-en,wmt_14,sample,0.10025670263081972
2,8,wmt_14:language_pair=hi-en,wmt_14,pkps,0.09359702599224135
2,8,wmt_14:language_pair=hi-en,wmt_14,ens,0.07407212723188299
2,8,wmt_14:language_pair=ru-en,wmt_14,sample,0.10007917352102799
2,8,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06796388522645452
2,8,wmt_14:language_pair=ru-en,wmt_14,ens,0.06092876588844391
2,9,legalbench:subset=abercrombie,legalbench,sample,0.2801924165251839
2,9,legalbench:subset=abercrombie,legalbench,pkps,0.14610582861400118
2,9,legalbench:subset=abercrombie,legalbench,ens,0.14857769631531104
2,9,legalbench:subset=abercrombie,legalbench,irt,0.5040060918961133
2,9,legalbench:subset=corporate_lobbying,legalbench,sample,0.2343189964157706
2,9,legalbench:subset=corporate_lobbying,legalbench,pkps,0.13448984831102342
2,9,legalbench:subset=corporate_lobbying,legalbench,ens,0.12434454712587809
2,9,legalbench:subset=corporate_lobbying,legalbench,irt,0.44648729490363204
2,9,legalbench:subset=function_of_decision_section,legalbench,sample,0.30483870967741933
2,9,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07650832641425233
2,9,legalbench:subset=function_of_decision_section,legalbench,ens,0.11711237051126869
2,9,legalbench:subset=function_of_decision_section,legalbench,irt,0.495685178479871
2,9,legalbench:subset=international_citizenship_questions,legalbench,sample,0.26783154121863795
2,9,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.12631043639182601
2,9,legalbench:subset=international_citizenship_questions,legalbench,ens,0.13423805126076208
2,9,legalbench:subset=international_citizenship_questions,legalbench,irt,0.49791436271798856
2,9,legalbench:subset=proa,legalbench,sample,0.17068477645727223
2,9,legalbench:subset=proa,legalbench,pkps,0.09947547878849941
2,9,legalbench:subset=proa,legalbench,ens,0.08674022518711032
2,9,legalbench:subset=proa,legalbench,irt,0.05102532053949836
2,9,math:subject=algebra,math,sample,0.16379928315412184
2,9,math:subject=algebra,math,pkps,0.22153502668507333
2,9,math:subject=algebra,math,ens,0.15882935650026211
2,9,math:subject=algebra,math,irt,0.04833102938465528
2,9,math:subject=counting_and_probability,math,sample,0.2262200165425972
2,9,math:subject=counting_and_probability,math,pkps,0.21883245878280502
2,9,math:subject=counting_and_probability,math,ens,0.16552187353249553
2,9,math:subject=counting_and_probability,math,irt,0.2417348621268606
2,9,math:subject=geometry,math,sample,0.27419354838709675
2,9,math:subject=geometry,math,pkps,0.18935628864579399
2,9,math:subject=geometry,math,ens,0.1561011655288527
2,9,math:subject=geometry,math,irt,0.3923332595434355
2,9,math:subject=intermediate_algebra,math,sample,0.2299421009098429
2,9,math:subject=intermediate_algebra,math,pkps,0.22204020556390222
2,9,math:subject=intermediate_algebra,math,ens,0.17687326712094337
2,9,math:subject=intermediate_algebra,math,irt,0.19877765709283732
2,9,math:subject=number_theory,math,sample,0.2193548387096774
2,9,math:subject=number_theory,math,pkps,0.21883578039257745
2,9,math:subject=number_theory,math,ens,0.15852394637391276
2,9,math:subject=number_theory,math,irt,0.2565705059735711
2,9,math:subject=prealgebra,math,sample,0.18529632408102026
2,9,math:subject=prealgebra,math,pkps,0.21658998368503912
2,9,math:subject=prealgebra,math,ens,0.14511856087594605
2,9,math:subject=prealgebra,math,irt,0.3135822527668942
2,9,math:subject=precalculus,math,sample,0.26362950386719486
2,9,math:subject=precalculus,math,pkps,0.20279299925104538
2,9,math:subject=precalculus,math,ens,0.15779584972964214
2,9,math:subject=precalculus,math,irt,0.2439715065652354
2,9,med_qa,med_qa,sample,0.24578853046594978
2,9,med_qa,med_qa,pkps,0.12003714603805095
2,9,med_qa,med_qa,ens,0.11302074307153304
2,9,med_qa,med_qa,irt,0.44166436271798853
2,9,wmt_14:language_pair=cs-en,wmt_14,sample,0.07758146497831114
2,9,wmt_14:language_pair=cs-en,wmt_14,pkps,0.0533592430998007
2,9,wmt_14:language_pair=cs-en,wmt_14,ens,0.047458695900088985
2,9,wmt_14:language_pair=de-en,wmt_14,sample,0.09510669350848022
2,9,wmt_14:language_pair=de-en,wmt_14,pkps,0.034276175360962675
2,9,wmt_14:language_pair=de-en,wmt_14,ens,0.042076238027662846
2,9,wmt_14:language_pair=fr-en,wmt_14,sample,0.09292451992210803
2,9,wmt_14:language_pair=fr-en,wmt_14,pkps,0.022847492913434044
2,9,wmt_14:language_pair=fr-en,wmt_14,ens,0.03608980928856497
2,9,wmt_14:language_pair=hi-en,wmt_14,sample,0.10780276818255702
2,9,wmt_14:language_pair=hi-en,wmt_14,pkps,0.09069642354881363
2,9,wmt_14:language_pair=hi-en,wmt_14,ens,0.07444440769724447
2,9,wmt_14:language_pair=ru-en,wmt_14,sample,0.08320505555191836
2,9,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06802456998451015
2,9,wmt_14:language_pair=ru-en,wmt_14,ens,0.05463500162656258
2,10,legalbench:subset=abercrombie,legalbench,sample,0.27294850028296547
2,10,legalbench:subset=abercrombie,legalbench,pkps,0.16591891510008067
2,10,legalbench:subset=abercrombie,legalbench,ens,0.12546959363495921
2,10,legalbench:subset=abercrombie,legalbench,irt,0.39122413700889525
2,10,legalbench:subset=corporate_lobbying,legalbench,sample,0.24327956989247312
2,10,legalbench:subset=corporate_lobbying,legalbench,pkps,0.13691266033013508
2,10,legalbench:subset=corporate_lobbying,legalbench,ens,0.11644163536635038
2,10,legalbench:subset=corporate_lobbying,legalbench,irt,0.41118045670457515
2,10,legalbench:subset=function_of_decision_section,legalbench,sample,0.2711469534050179
2,10,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07904028398816366
2,10,legalbench:subset=function_of_decision_section,legalbench,ens,0.09984034233290932
2,10,legalbench:subset=function_of_decision_section,legalbench,irt,0.32833102938465525
2,10,legalbench:subset=international_citizenship_questions,legalbench,sample,0.3002688172043011
2,10,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.11984608963272748
2,10,legalbench:subset=international_citizenship_questions,legalbench,ens,0.12812595084834652
2,10,legalbench:subset=international_citizenship_questions,legalbench,irt,0.552439675856013
2,10,legalbench:subset=proa,legalbench,sample,0.14623655913978495
2,10,legalbench:subset=proa,legalbench,pkps,0.10881182108219808
2,10,legalbench:subset=proa,legalbench,ens,0.08308932444399471
2,10,legalbench:subset=proa,legalbench,irt,0.17151833371134498
2,10,math:subject=algebra,math,sample,0.19193548387096776
2,10,math:subject=algebra,math,pkps,0.20766265363088263
2,10,math:subject=algebra,math,ens,0.16553751188753046
2,10,math:subject=algebra,math,irt,0.4802831077273322
2,10,math:subject=counting_and_probability,math,sample,0.22649572649572652
2,10,math:subject=counting_and_probability,math,pkps,0.20939632941979053
2,10,math:subject=counting_and_probability,math,ens,0.15487334608058398
2,10,math:subject=counting_and_probability,math,irt,0.1778938004248986
2,10,math:subject=geometry,math,sample,0.23655913978494625
2,10,math:subject=geometry,math,pkps,0.1839789524340904
2,10,math:subject=geometry,math,ens,0.14118209508424168
2,10,math:subject=geometry,math,irt,0.2664067102990583
2,10,math:subject=intermediate_algebra,math,sample,0.21546732837055418
2,10,math:subject=intermediate_algebra,math,pkps,0.2096860661556929
2,10,math:subject=intermediate_algebra,math,ens,0.16704255335676704
2,10,math:subject=intermediate_algebra,math,irt,0.512233706137959
2,10,math:subject=number_theory,math,sample,0.20967741935483872
2,10,math:subject=number_theory,math,pkps,0.21885855796782716
2,10,math:subject=number_theory,math,ens,0.16922637858071268
2,10,math:subject=number_theory,math,irt,0.34005917717088163
2,10,math:subject=prealgebra,math,sample,0.19292323080770196
2,10,math:subject=prealgebra,math,pkps,0.2021385614529865
2,10,math:subject=prealgebra,math,ens,0.15753289424593742
2,10,math:subject=prealgebra,math,irt,0.20179183678574528
2,10,math:subject=precalculus,math,sample,0.2656102622146765
2,10,math:subject=precalculus,math,pkps,0.18800386991786125
2,10,math:subject=precalculus,math,ens,0.15227260972233791
2,10,math:subject=precalculus,math,irt,0.33838562439514047
2,10,med_qa,med_qa,sample,0.25277777777777777
2,10,med_qa,med_qa,pkps,0.11528164269563013
2,10,med_qa,med_qa,ens,0.11677718211830068
2,10,med_qa,med_qa,irt,0.31567527602270823
2,10,wmt_14:language_pair=cs-en,wmt_14,sample,0.08507252835445177
2,10,wmt_14:language_pair=cs-en,wmt_14,pkps,0.05091686627323761
2,10,wmt_14:language_pair=cs-en,wmt_14,ens,0.045710510634236465
2,10,wmt_14:language_pair=de-en,wmt_14,sample,0.09626384943757416
2,10,wmt_14:language_pair=de-en,wmt_14,pkps,0.03651709407062408
2,10,wmt_14:language_pair=de-en,wmt_14,ens,0.03407533427594315
2,10,wmt_14:language_pair=fr-en,wmt_14,sample,0.10417109931612122
2,10,wmt_14:language_pair=fr-en,wmt_14,pkps,0.022482870868775266
2,10,wmt_14:language_pair=fr-en,wmt_14,ens,0.03586984832183044
2,10,wmt_14:language_pair=hi-en,wmt_14,sample,0.10667318947205238
2,10,wmt_14:language_pair=hi-en,wmt_14,pkps,0.08815641573683264
2,10,wmt_14:language_pair=hi-en,wmt_14,ens,0.07126310836647573
2,10,wmt_14:language_pair=ru-en,wmt_14,sample,0.09892037651818249
2,10,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06300432147056434
2,10,wmt_14:language_pair=ru-en,wmt_14,ens,0.056663481711890964
2,11,legalbench:subset=abercrombie,legalbench,sample,0.26230899830220716
2,11,legalbench:subset=abercrombie,legalbench,pkps,0.1528582500886819
2,11,legalbench:subset=abercrombie,legalbench,ens,0.11828319792561166
2,11,legalbench:subset=abercrombie,legalbench,irt,0.35370522860518433
2,11,legalbench:subset=corporate_lobbying,legalbench,sample,0.22840501792114692
2,11,legalbench:subset=corporate_lobbying,legalbench,pkps,0.1321036941494854
2,11,legalbench:subset=corporate_lobbying,legalbench,ens,0.11704026184597405
2,11,legalbench:subset=corporate_lobbying,legalbench,irt,0.24465128855554147
2,11,legalbench:subset=function_of_decision_section,legalbench,sample,0.27508960573476704
2,11,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07940371022391611
2,11,legalbench:subset=function_of_decision_section,legalbench,ens,0.09794978223285555
2,11,legalbench:subset=function_of_decision_section,legalbench,irt,0.3291643627179886
2,11,legalbench:subset=international_citizenship_questions,legalbench,sample,0.2545698924731183
2,11,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.14047963228987254
2,11,legalbench:subset=international_citizenship_questions,legalbench,ens,0.13030723824808133
2,11,legalbench:subset=international_citizenship_questions,legalbench,irt,0.43155605046030343
2,11,legalbench:subset=proa,legalbench,sample,0.13571024335031126
2,11,legalbench:subset=proa,legalbench,pkps,0.11219453427638883
2,11,legalbench:subset=proa,legalbench,ens,0.0855022045266512
2,11,legalbench:subset=proa,legalbench,irt,0.291554729286001
2,11,math:subject=algebra,math,sample,0.21487455197132613
2,11,math:subject=algebra,math,pkps,0.1982979460452136
2,11,math:subject=algebra,math,ens,0.16028922047891034
2,11,math:subject=algebra,math,irt,0.19694977439399886
2,11,math:subject=counting_and_probability,math,sample,0.2087124345188861
2,11,math:subject=counting_and_probability,math,pkps,0.20092671106014662
2,11,math:subject=counting_and_probability,math,ens,0.15516598991902344
2,11,math:subject=counting_and_probability,math,irt,0.2951553744109821
2,11,math:subject=geometry,math,sample,0.2495755517826825
2,11,math:subject=geometry,math,pkps,0.16855826096715207
2,11,math:subject=geometry,math,ens,0.14178086955160715
2,11,math:subject=geometry,math,irt,0.3293887840200042
2,11,math:subject=intermediate_algebra,math,sample,0.21339950372208438
2,11,math:subject=intermediate_algebra,math,pkps,0.19557157055963537
2,11,math:subject=intermediate_algebra,math,ens,0.14572051463601493
2,11,math:subject=intermediate_algebra,math,irt,0.4039024767181208
2,11,math:subject=number_theory,math,sample,0.2139784946236559
2,11,math:subject=number_theory,math,pkps,0.2132533169094341
2,11,math:subject=number_theory,math,ens,0.16249980575633505
2,11,math:subject=number_theory,math,irt,0.29258686844441306
2,11,math:subject=prealgebra,math,sample,0.1880470117529383
2,11,math:subject=prealgebra,math,pkps,0.1944777570262554
2,11,math:subject=prealgebra,math,ens,0.1498229684855302
2,11,math:subject=prealgebra,math,irt,0.3386029373247301
2,11,math:subject=precalculus,math,sample,0.2587247689115262
2,11,math:subject=precalculus,math,pkps,0.1826149610626457
2,11,math:subject=precalculus,math,ens,0.14292864820051704
2,11,math:subject=precalculus,math,irt,0.31834353657723463
2,11,med_qa,med_qa,sample,0.31317204301075263
2,11,med_qa,med_qa,pkps,0.12098068835183462
2,11,med_qa,med_qa,ens,0.12025900079310255
2,11,med_qa,med_qa,irt,0.3403471233712418
2,11,wmt_14:language_pair=cs-en,wmt_14,sample,0.08766693908526406
2,11,wmt_14:language_pair=cs-en,wmt_14,pkps,0.045484764227704415
2,11,wmt_14:language_pair=cs-en,wmt_14,ens,0.04451406483723557
2,11,wmt_14:language_pair=de-en,wmt_14,sample,0.1093725290168033
2,11,wmt_14:language_pair=de-en,wmt_14,pkps,0.03626734131549035
2,11,wmt_14:language_pair=de-en,wmt_14,ens,0.047646867841837
2,11,wmt_14:language_pair=fr-en,wmt_14,sample,0.09953098685140305
2,11,wmt_14:language_pair=fr-en,wmt_14,pkps,0.021843713693463412
2,11,wmt_14:language_pair=fr-en,wmt_14,ens,0.03390541711126199
2,11,wmt_14:language_pair=hi-en,wmt_14,sample,0.10335644602935445
2,11,wmt_14:language_pair=hi-en,wmt_14,pkps,0.08508950700108485
2,11,wmt_14:language_pair=hi-en,wmt_14,ens,0.06418825475382763
2,11,wmt_14:language_pair=ru-en,wmt_14,sample,0.10762599665040315
2,11,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06393521863781806
2,11,wmt_14:language_pair=ru-en,wmt_14,ens,0.05285720309448677
4,0,legalbench:subset=abercrombie,legalbench,sample,0.19241652518392752
4,0,legalbench:subset=abercrombie,legalbench,pkps,0.14438845195001773
4,0,legalbench:subset=abercrombie,legalbench,ens,0.1148105862460401
4,0,legalbench:subset=abercrombie,legalbench,irt,0.33557997119747995
4,0,legalbench:subset=corporate_lobbying,legalbench,sample,0.16299283154121863
4,0,legalbench:subset=corporate_lobbying,legalbench,pkps,0.1160785694279282
4,0,legalbench:subset=corporate_lobbying,legalbench,ens,0.10654042485195364
4,0,legalbench:subset=corporate_lobbying,legalbench,irt,0.38134162155196694
4,0,legalbench:subset=function_of_decision_section,legalbench,sample,0.17419354838709677
4,0,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07666540578235907
4,0,legalbench:subset=function_of_decision_section,legalbench,ens,0.08781379981397264
4,0,legalbench:subset=function_of_decision_section,legalbench,irt,0.3332580658787425
4,0,legalbench:subset=international_citizenship_questions,legalbench,sample,0.1984767025089606
4,0,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.12287337069024246
4,0,legalbench:subset=international_citizenship_questions,legalbench,ens,0.11113377445472869
4,0,legalbench:subset=international_citizenship_questions,legalbench,irt,0.5015503741133203
4,0,legalbench:subset=proa,legalbench,sample,0.10956423316355404
4,0,legalbench:subset=proa,legalbench,pkps,0.08871137409855254
4,0,legalbench:subset=proa,legalbench,ens,0.07371487277864724
4,0,legalbench:subset=proa,legalbench,irt,0.10920937546007764
4,0,math:subject=algebra,math,sample,0.13279569892473117
4,0,math:subject=algebra,math,pkps,0.16824623375973494
4,0,math:subject=algebra,math,ens,0.1100510965478278
4,0,math:subject=algebra,math,irt,0.24172539014172725
4,0,math:subject=counting_and_probability,math,sample,0.15357044389302452
4,0,math:subject=counting_and_probability,math,pkps,0.17182142072142476
4,0,math:subject=counting_and_probability,math,ens,0.11710541786526955
4,0,math:subject=counting_and_probability,math,irt,0.545031929523552
4,0,math:subject=geometry,math,sample,0.17402376910016978
4,0,math:subject=geometry,math,pkps,0.15862063434480206
4,0,math:subject=geometry,math,ens,0.12681536343112126
4,0,math:subject=geometry,math,irt,0.3872667191651989
4,0,math:subject=intermediate_algebra,math,sample,0.16066997518610424
4,0,math:subject=intermediate_algebra,math,pkps,0.17196777237046312
4,0,math:subject=intermediate_algebra,math,ens,0.1277511687917621
4,0,math:subject=intermediate_algebra,math,irt,0.2420326556612577
4,0,math:subject=number_theory,math,sample,0.15197132616487455
4,0,math:subject=number_theory,math,pkps,0.17230033024768715
4,0,math:subject=number_theory,math,ens,0.1099072309932566
4,0,math:subject=number_theory,math,irt,0.21759525161412943
4,0,math:subject=prealgebra,math,sample,0.15116279069767447
4,0,math:subject=prealgebra,math,pkps,0.15941607133080882
4,0,math:subject=prealgebra,math,ens,0.1068332985945305
4,0,math:subject=prealgebra,math,irt,0.21028646591582198
4,0,math:subject=precalculus,math,sample,0.14105829088851163
4,0,math:subject=precalculus,math,pkps,0.16478786486439997
4,0,math:subject=precalculus,math,ens,0.10037544752702579
4,0,math:subject=precalculus,math,irt,0.2820116687698297
4,0,med_qa,med_qa,sample,0.17804659498207887
4,0,med_qa,med_qa,pkps,0.10791082706380405
4,0,med_qa,med_qa,ens,0.11059822827821761
4,0,med_qa,med_qa,irt,0.5593756132026435
4,0,wmt_14:language_pair=cs-en,wmt_14,sample,0.05979566463953996
4,0,wmt_14:language_pair=cs-en,wmt_14,pkps,0.04456316687961393
4,0,wmt_14:language_pair=cs-en,wmt_14,ens,0.040302892181327994
4,0,wmt_14:language_pair=de-en,wmt_14,sample,0.07228812771560596
4,0,wmt_14:language_pair=de-en,wmt_14,pkps,0.037323650261231446
4,0,wmt_14:language_pair=de-en,wmt_14,ens,0.039907858047487324
4,0,wmt_14:language_pair=fr-en,wmt_14,sample,0.07234350083800992
4,0,wmt_14:language_pair=fr-en,wmt_14,pkps,0.02097763283118059
4,0,wmt_14:language_pair=fr-en,wmt_14,ens,0.0375808841871041
4,0,wmt_14:language_pair=hi-en,wmt_14,sample,0.08018295613960218
4,0,wmt_14:language_pair=hi-en,wmt_14,pkps,0.07980569262790833
4,0,wmt_14:language_pair=hi-en,wmt_14,ens,0.05910910401810031
4,0,wmt_14:language_pair=ru-en,wmt_14,sample,0.06640305444981362
4,0,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06541216578173098
4,0,wmt_14:language_pair=ru-en,wmt_14,ens,0.05429680262917717
4,1,legalbench:subset=abercrombie,legalbench,sample,0.18409734012450477
4,1,legalbench:subset=abercrombie,legalbench,pkps,0.14289089376715258
4,1,legalbench:subset=abercrombie,legalbench,ens,0.1176275945699474
4,1,legalbench:subset=abercrombie,legalbench,irt,0.40645269837060705
4,1,legalbench:subset=corporate_lobbying,legalbench,sample,0.14399641577060932
4,1,legalbench:subset=corporate_lobbying,legalbench,pkps,0.11390931666421485
4,1,legalbench:subset=corporate_lobbying,legalbench,ens,0.0929242905792491
4,1,legalbench:subset=corporate_lobbying,legalbench,irt,0.3090448834781817
4,1,legalbench:subset=function_of_decision_section,legalbench,sample,0.19964157706093186
4,1,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07287405755376015
4,1,legalbench:subset=function_of_decision_section,legalbench,ens,0.09700852495625435
4,1,legalbench:subset=function_of_decision_section,legalbench,irt,0.31666551581095503
4,1,legalbench:subset=international_citizenship_questions,legalbench,sample,0.18467741935483864
4,1,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.11281728322116073
4,1,legalbench:subset=international_citizenship_questions,legalbench,ens,0.1026530543783365
4,1,legalbench:subset=international_citizenship_questions,legalbench,irt,0.5036301520464892
4,1,legalbench:subset=proa,legalbench,sample,0.1087719298245614
4,1,legalbench:subset=proa,legalbench,pkps,0.09251722828601355
4,1,legalbench:subset=proa,legalbench,ens,0.07789918498772805
4,1,legalbench:subset=proa,legalbench,irt,0.20136944488169045
4,1,math:subject=algebra,math,sample,0.12795698924731183
4,1,math:subject=algebra,math,pkps,0.182757466777617
4,1,math:subject=algebra,math,ens,0.11574479798377346
4,1,math:subject=algebra,math,irt,0.2709249548853003
4,1,math:subject=counting_and_probability,math,sample,0.13240970499035015
4,1,math:subject=counting_and_probability,math,pkps,0.17077708934106775
4,1,math:subject=counting_and_probability,math,ens,0.10950779368034406
4,1,math:subject=counting_and_probability,math,irt,0.2784725061166518
4,1,math:subject=geometry,math,sample,0.16100735710243347
4,1,math:subject=geometry,math,pkps,0.17726723939815606
4,1,math:subject=geometry,math,ens,0.13048509733369235
4,1,math:subject=geometry,math,irt,0.32129805864087374
4,1,math:subject=intermediate_algebra,math,sample,0.15942928039702237
4,1,math:subject=intermediate_algebra,math,pkps,0.18256560587534146
4,1,math:subject=intermediate_algebra,math,ens,0.12645989876300412
4,1,math:subject=intermediate_algebra,math,irt,0.31534821320979567
4,1,math:subject=number_theory,math,sample,0.1403225806451613
4,1,math:subject=number_theory,math,pkps,0.1886118147734731
4,1,math:subject=number_theory,math,ens,0.11974165986215152
4,1,math:subject=number_theory,math,irt,0.3840241238912578
4,1,math:subject=prealgebra,math,sample,0.14459864966241562
4,1,math:subject=prealgebra,math,pkps,0.18221286440603168
4,1,math:subject=prealgebra,math,ens,0.11742095018405858
4,1,math:subject=prealgebra,math,irt,0.1961404416327354
4,1,math:subject=precalculus,math,sample,0.17091114883984157
4,1,math:subject=precalculus,math,pkps,0.16956787157133588
4,1,math:subject=precalculus,math,ens,0.12940856490628605
4,1,math:subject=precalculus,math,irt,0.3636285749269795
4,1,med_qa,med_qa,sample,0.20725806451612902
4,1,med_qa,med_qa,pkps,0.09955255200230187
4,1,med_qa,med_qa,ens,0.10763896301310812
4,1,med_qa,med_qa,irt,0.38404488347818166
4,1,wmt_14:language_pair=cs-en,wmt_14,sample,0.061458460192663725
4,1,wmt_14:language_pair=cs-en,wmt_14,pkps,0.04720330250016278
4,1,wmt_14:language_pair=cs-en,wmt_14,ens,0.043233924023473765
4,1,wmt_14:language_pair=de-en,wmt_14,sample,0.06439435808576913
4,1,wmt_14:language_pair=de-en,wmt_14,pkps,0.031995129955801546
4,1,wmt_14:language_pair=de-en,wmt_14,ens,0.03449177509209334
4,1,wmt_14:language_pair=fr-en,wmt_14,sample,0.0615777936899665
4,1,wmt_14:language_pair=fr-en,wmt_14,pkps,0.019139999034327553
4,1,wmt_14:language_pair=fr-en,wmt_14,ens,0.03033154895691222
4,1,wmt_14:language_pair=hi-en,wmt_14,sample,0.07928442601327909
4,1,wmt_14:language_pair=hi-en,wmt_14,pkps,0.0828165511440774
4,1,wmt_14:language_pair=hi-en,wmt_14,ens,0.06373533121246337
4,1,wmt_14:language_pair=ru-en,wmt_14,sample,0.0722407367107529
4,1,wmt_14:language_pair=ru-en,wmt_14,pkps,0.0609155354948632
4,1,wmt_14:language_pair=ru-en,wmt_14,ens,0.0504017225692664
4,2,legalbench:subset=abercrombie,legalbench,sample,0.1822297679683078
4,2,legalbench:subset=abercrombie,legalbench,pkps,0.1468314244542252
4,2,legalbench:subset=abercrombie,legalbench,ens,0.11945576403184315
4,2,legalbench:subset=abercrombie,legalbench,irt,0.5697356912495515
4,2,legalbench:subset=corporate_lobbying,legalbench,sample,0.1692652329749104
4,2,legalbench:subset=corporate_lobbying,legalbench,pkps,0.10802339490846057
4,2,legalbench:subset=corporate_lobbying,legalbench,ens,0.10691139194629773
4,2,legalbench:subset=corporate_lobbying,legalbench,irt,0.3949897088794801
4,2,legalbench:subset=function_of_decision_section,legalbench,sample,0.1913978494623656
4,2,legalbench:subset=function_of_decision_section,legalbench,pkps,0.06950865469939922
4,2,legalbench:subset=function_of_decision_section,legalbench,ens,0.0924836134003194
4,2,legalbench:subset=function_of_decision_section,legalbench,irt,0.339253216811515
4,2,legalbench:subset=international_citizenship_questions,legalbench,sample,0.2061827956989247
4,2,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.1173374857820758
4,2,legalbench:subset=international_citizenship_questions,legalbench,ens,0.1116523997531103
4,2,legalbench:subset=international_citizenship_questions,legalbench,irt,0.40388879003790845
4,2,legalbench:subset=proa,legalbench,sample,0.11196943972835315
4,2,legalbench:subset=proa,legalbench,pkps,0.09050541423353105
4,2,legalbench:subset=proa,legalbench,ens,0.07416159198651444
4,2,legalbench:subset=proa,legalbench,irt,0.17958589903645023
4,2,math:subject=algebra,math,sample,0.12491039426523295
4,2,math:subject=algebra,math,pkps,0.18488278831674287
4,2,math:subject=algebra,math,ens,0.11877921992380402
4,2,math:subject=algebra,math,irt,0.23787683569247975
4,2,math:subject=counting_and_probability,math,sample,0.15949820788530464
4,2,math:subject=counting_and_probability,math,pkps,0.17285973433871157
4,2,math:subject=counting_and_probability,math,ens,0.11473465832734538
4,2,math:subject=counting_and_probability,math,irt,0.2576548156789341
4,2,math:subject=geometry,math,sample,0.17034521788341822
4,2,math:subject=geometry,math,pkps,0.16710152877124837
4,2,math:subject=geometry,math,ens,0.12567087548192019
4,2,math:subject=geometry,math,irt,0.3643720192805303
4,2,math:subject=intermediate_algebra,math,sample,0.1674937965260546
4,2,math:subject=intermediate_algebra,math,pkps,0.1851330264491101
4,2,math:subject=intermediate_algebra,math,ens,0.13457551222014347
4,2,math:subject=intermediate_algebra,math,irt,0.24540850788570306
4,2,math:subject=number_theory,math,sample,0.13333333333333333
4,2,math:subject=number_theory,math,pkps,0.17371023705963984
4,2,math:subject=number_theory,math,ens,0.11155094222208202
4,2,math:subject=number_theory,math,irt,0.3820303905516755
4,2,math:subject=prealgebra,math,sample,0.15416354088522133
4,2,math:subject=prealgebra,math,pkps,0.17208383607889532
